background_counts,multiplicity,prediction_cut,sensitivity,sensitivity_high,sensitivity_low,signal_counts,significance,theta_cut,total_bkg_counts,valid,weighted_background_counts,weighted_signal_counts,e_min,e_max
52.42500000000001,2.0,0.75,0.05398441142935827,0.054626918315697964,0.053363202145506654,4924,85.29587856887697,0.15000000000000002,466,True,192060.03927558195,19993.86280430817,0.020000000000000004,0.03169786384922229
170.94350000000003,2.0,0.6000000000000001,0.026344503947343778,0.026500335992375303,0.026187222069811188,16658,171.81763977507046,0.17,1183,True,562911.1403857344,69965.93250868285,0.03169786384922229,0.05023772863019162
289.14450000000005,2.0,0.6000000000000001,0.01068893659113582,0.010727440587865192,0.010644955309755594,46953,388.1558149810115,0.17,2001,True,760783.9247290515,200432.4200685819,0.05023772863019162,0.07962143411069948
94.61250000000003,2.0,0.65,0.006725775392952058,0.006755133072200624,0.0066956606376951874,39931,495.5137090004448,0.15000000000000002,841,True,207045.7582119926,166607.87350912282,0.07962143411069948,0.1261914688960387
5.1425,6.0,0.7000000000000001,0.004428088046617269,0.004475941684681486,0.004385444421196694,14287,396.0862418669272,0.11,85,True,10013.577694083944,56680.18115531581,0.1261914688960387,0.20000000000000004
0.29999999999999993,6.0,0.8,0.002387681383339626,0.0024782294237166917,0.002302948870620881,7069,293.6743319057798,0.09999999999999999,6,True,499.8626787649772,25293.694186288958,0.20000000000000004,0.31697863849222285
0.064,10.0,0.8,0.0014264217700030303,0.0015267159851565788,0.0013080721308953804,6275,264.9061572049987,0.08,2,True,84.8586220496629,19863.059242162577,0.31697863849222285,0.5023772863019165
0.064,6.0,0.8,0.0009472845927157266,0.00103401416592416,0.0008540079071686173,9031,290.82217139845267,0.08,2,True,46.857727072038394,23776.767534698804,0.5023772863019165,0.7962143411069947
0.064,7.0,0.8,0.0013470800427568125,0.0014671416109046003,0.0012156495084845596,7354,235.79104416421603,0.08,2,True,39.468700039913486,15656.707474997893,0.7962143411069947,1.2619146889603874
0.032,10.0,0.75,0.001565181220894935,0.001768474985667851,0.0013357149382483464,6073,191.4949273387819,0.08,1,True,17.789501424824063,10300.775369235744,1.2619146889603874,2.0000000000000004
0.040499999999999994,6.0,0.75,0.0015052701726149154,0.001730395311064957,0.0012938359562074976,7745,184.62266044431712,0.09,1,True,12.816677729602482,9562.356459346913,2.0000000000000004,3.1697863849222285
0.096,7.0,0.7000000000000001,0.003188507937041246,0.0035943088341039136,0.0027983255707703047,5647,134.23072496215696,0.08,3,True,18.621142600534196,5091.100138216877,3.1697863849222285,5.023772863019165
0.032,9.0,0.7000000000000001,0.0050804599708926135,0.005845868781428327,0.004041994073169122,3701,91.14298044139701,0.08,1,True,6.144588117260926,2340.0844745430823,5.023772863019165,7.962143411069948
0.040499999999999994,6.0,0.7000000000000001,0.006831191742206376,0.00788008195635957,0.005537229782678484,3885,76.08356624380171,0.09,1,True,4.9660915769465275,1632.7115913105895,7.962143411069948,12.619146889603874
0.032,10.0,0.65,0.02159863340529957,0.025331931934801044,0.01748369605846651,1839,41.84246245440138,0.08,1,True,3.9077490105705417,500.1633184683765,12.619146889603874,20.000000000000004
0.04999999999999999,5.0,0.6000000000000001,0.027286019667300557,0.03244393764969777,0.02250378726245433,2176,36.38182895970674,0.09999999999999999,1,True,3.541342911136512,379.52758462660006,20.000000000000004,31.697863849222287
0.14999999999999997,2.0,0.6000000000000001,0.0672775943885339,0.08365728652374967,0.05417181328140177,1606,23.85799934891388,0.09999999999999999,3,True,5.395582432019427,170.69036358692696,31.697863849222287,50.23772863019165
0.072,4.0,0.45,0.13274272132010306,0.17853881120457354,0.10266054278035316,1232,15.899209402809575,0.12,1,True,3.6400505421505462,77.75926969343095,50.23772863019165,79.62143411069955
0.121,2.0,0.45,0.43333462968003905,0.6234737221235467,0.30246965776537754,685,8.357939634570656,0.11,2,True,3.5863568591828994,24.44893939245325,79.62143411069955,126.19146889603887
0.1295,2.0,0.0,9.366400194481713,11.266702786873678,4.257004937112233,14,0.3211089564270391,0.01,259,False,2.4323303880560676,0.2691568709007277,126.19146889603887,200.00000000000003
