energy_prediction,angular_resolution
0.015886564694485635,0.2676732043583703
0.025178508235883353,0.2439197456641731
0.03990524629937761,0.22669820140485597
0.06324555320336761,0.2027404267805846
0.1002374467254545,0.17781313869141607
0.15886564694485633,0.15433081826796358
0.2517850823588335,0.14066363705379653
0.3990524629937762,0.1321720730434637
0.6324555320336762,0.12522603186566914
1.002374467254545,0.11623005775876583
1.5886564694485636,0.10510071223066739
2.5178508235883355,0.09463977679087206
3.990524629937762,0.08906177904780353
6.324555320336763,0.08584520435223705
10.023744672545451,0.08353542045409654
15.886564694485637,0.08562656890641407
25.178508235883353,0.08566361287344429
39.90524629937762,0.08919269951503622
63.245553203367656,0.10390460143745985
100.23744672545462,0.1328581905587104
158.86564694485645,0.15333682220190206
