,width,length,intensity,concentration_cog,num_islands,focal_length,particle_type
0,0.025913373429946922,0.05176055590793165,78.62121062725251,0.460977049570609,1,16.0,1
1,0.017510933531807757,0.04597165381089595,133.80366033655653,0.6723735411472551,1,16.0,1
2,0.00704836713276933,0.018642173105899943,57.74360442297089,0.7188982939457284,1,5.599999904632568,1
3,0.012845261306706525,0.017643912402729844,45.34864827103807,0.6630076644488195,1,5.599999904632568,1
4,0.02157764544554293,0.0591633905600906,120.96558159322962,0.3940665937407314,1,16.0,1
5,0.0230717874002895,0.07326005458274588,500.31177428337935,0.433675122941365,1,16.0,1
6,0.019094601254281446,0.08044325739627027,100.07962899098398,0.3190162981475206,2,16.0,1
7,0.011009762263258017,0.04376975530188622,72.04894440821478,0.6297616949875968,1,16.0,1
8,0.023304536741618607,0.05270550241050142,62.98028087435017,0.4511969541717254,1,16.0,1
9,0.027297739698952328,0.05247208193548274,94.80734758237655,0.3480900270356193,1,28.0,1
10,0.02498232059840126,0.03977112316380396,64.26453703584727,0.6653685069773931,1,16.0,1
11,0.01973808433501478,0.03645339273816152,222.14079687806228,0.7340616804736124,1,16.0,1
12,0.026881034643118917,0.052411064908918184,74.21218962049637,0.462977639724863,1,16.0,1
13,0.013670170039900254,0.03684198456190712,126.90369195737131,0.798908146505323,1,16.0,1
14,0.01983360039480731,0.05006411841553391,108.98746963040365,0.6146724182949325,1,16.0,1
15,0.02916423611626212,0.14449579306242719,346.5241534960887,0.14789065977822757,2,28.0,1
16,0.044447688764189405,0.06473601982297959,171.60342546529824,0.19291775099754935,1,28.0,1
17,0.045548913385919834,0.15134748150577668,1129.3793315955343,0.1529013867815127,2,28.0,1
18,0.01923942880926008,0.03256311815812462,34.77559959547817,0.8467220657509713,1,16.0,1
19,0.02539511417994483,0.0488689906000656,369.93183469240705,0.5046338641602445,1,16.0,1
20,0.016712180211763492,0.07109238937253308,132.6284599994884,0.3666852291543201,1,16.0,1
21,0.024941390169560256,0.08331883151241315,183.98162192669972,0.18605602288614617,1,16.0,1
22,0.026372543871316066,0.06576169889541213,476.4673120749233,0.46234254236120137,1,16.0,1
23,0.026127319694049515,0.06672183213795553,477.4465692279559,0.4030480841372984,1,16.0,1
24,0.008846562068534326,0.016699125458979284,83.7620901899146,0.7126581233600129,1,5.599999904632568,1
25,0.008173859672849426,0.019091135885973328,42.09072076669944,0.647557728299812,1,5.599999904632568,1
26,0.014962638577563244,0.04651967468250065,58.80775961573667,0.5631706944236152,1,28.0,1
27,0.03839147482688202,0.09023565388494646,343.0614815654162,0.19680356561640913,1,28.0,1
